GeneID	Control1	Control2	Control3	Control4	KO1	KO2	KO3	KO4
Ncstn	1689	2010	2259	2264	2113	3251	2818	3188
Pex19	1127	901	1470	1042	1538	1993	1511	1427
Phyhip	8	27	2	4	0	0	0	2
Crhr2	0	0	0	0	0	0	0	0
Inmt	0	8062	0	0	0	0	0	1
Cyp4f18	0	14	0	16	0	45	112	36
Impdh1	286	451	235	121	323	894	550	497
Psg18	0	0	0	5	0	0	0	0
Dusp3	77	592	211	171	147	235	109	124
Prodh	517	519	259	413	367	490	380	339
Ess2	53	318	466	446	346	497	521	636
Slc25a1	1936	1527	1345	1413	1434	1243	1265	1474
Dgcr6	837	761	1026	501	689	1099	846	767
Ddr1	286	1138	611	148	204	613	358	466
Ier3	4936	5406	4143	4445	5414	7849	3729	5160
Fosb	2048	1473	2468	1708	4280	3029	4652	6264
Klc4	522	634	1100	877	743	943	593	1076
Ercc1	766	1549	841	745	976	1595	1084	1331
Cyp17a1	1	0	0	0	1	0	36	0
As3mt	496	481	626	207	292	238	337	308
Homer3	215	186	219	171	102	178	146	190
Crtc1	5	198	34	26	90	182	114	407
Rnf215	155	253	203	339	184	296	407	155
Sec14l2	0	0	0	14	0	10	0	0
Aven	89	93	107	61	35	88	106	71
Cp	0	516	150	110	2	0	0	21
Crot	1587	976	2806	1607	1720	1616	2159	2206
Rps6ka1	784	420	733	674	531	780	1052	991
Calb2	0	0	0	0	0	0	0	0
Snrnp200	756	2026	2453	1595	1229	1248	755	2143
Ciao1	412	423	229	447	426	529	578	535
Has1	0	634	575	0	76	81	0	51
Taf6l	3089	2405	2401	2575	2160	2486	2053	2359
Insig2	845	886	954	1252	957	1072	668	1171
Kpna6	223	245	128	171	60	135	280	461
Man1a	1069	1151	1026	793	106	292	289	450
Itpkc	484	573	217	565	535	1164	998	1080
Coq8b	237	425	232	286	276	185	382	561
Brd8	1337	1111	1599	1067	938	1205	1554	1976
Kif20a	1	571	72	100	145	92	128	103
Farsa	804	680	2072	1091	1137	1213	1140	1353
Gcdh	290	261	183	228	102	171	238	444
Mast2	176	436	180	78	285	223	241	356
Dnase2a	531	542	754	641	618	504	680	987
Rad23a	1423	1090	1044	889	1155	1303	893	1117
Calr	3325	8229	2863	2490	3741	4334	3255	3913
Syce2	197	307	76	53	73	294	167	180
Nfat5	2906	1541	2547	2621	2395	3385	3990	5552
Nob1	956	536	854	609	792	1489	941	1412
Nqo1	18125	6378	19374	16083	3701	4440	3913	3657
Ppfia3	0	13	10	31	4	2	0	0
Gys1	294	561	262	68	220	449	152	505
Ruvbl2	585	1460	783	708	1541	1205	981	1713
Lin7b	0	0	0	6	0	0	26	0
Bax	1877	1363	1982	1312	1355	2172	1289	1737
Il7r	0	0	0	0	0	0	1	0
Tfam	480	469	466	328	704	592	674	860
Zfp81	487	300	87	367	192	204	168	470
Efnb3	0	20	0	6	9	0	0	12
Mmd	37	287	138	27	63	45	17	86
Hlf	0	0	0	0	0	0	0	0
Fam162a	2270	5090	1872	2564	1638	1613	1792	1509
Rpl8	22430	16060	17758	13945	19526	22519	18741	21855
Grm3	0	0	0	0	0	0	0	2
Ssbp2	2207	1636	2902	1867	1830	2802	2699	2914
Fancl	750	215	450	526	516	663	617	865
Brinp2	0	1	0	16	0	0	0	0
Gstm5	299	1104	450	61	315	179	317	550
Gstm7	1	0	1	92	65	74	35	90
Gstm3	95	10	18	73	9	20	53	10
Stat3	2298	3885	1993	3188	1665	1963	1960	1786
Stat5a	1	190	109	8	25	52	166	80
Cavin1	1489	7380	1266	787	1962	3103	1755	2957
Map3k11	318	87	341	201	258	451	151	391
Akt2	382	1466	602	334	602	800	868	619
Dnaja3	669	718	882	479	551	921	549	1065
Hmox2	1004	1077	945	820	798	770	862	863
Cdip1	340	114	599	246	589	301	503	442
Map3k20	1274	946	834	841	873	977	811	901
Cwc15	2516	2545	2149	1486	1883	2490	1781	2244
Col5a3	0	2096	0	169	6	1	3	0
Dnmt1	217	314	91	295	128	370	297	212
Ppan	442	300	336	259	254	547	339	601
Angptl2	213	850	199	121	0	0	4	68
Cacna1e	2	2	2	3	2	1	1	4
Cacna1b	0	0	0	0	5	0	4	8
Trmt10a	71	366	241	324	546	545	364	691
Etv1	0	60	0	50	6	0	0	0
Kifc2	236	0	75	140	42	101	193	73
Psap	4112	4040	2594	2405	2474	2739	3004	3225
Ikbkg	757	329	448	477	701	417	527	676
Pax2	0	0	0	0	0	0	0	0
Wars2	102	151	271	136	392	206	160	413
Atn1	149	138	43	91	81	113	89	96
Phb2	1662	2040	1541	1120	1773	2639	2113	2691
Ptpn6	117	178	208	363	185	358	292	429
Eno2	27	309	1	6	22	0	4	0
Emg1	2878	2515	2932	1947	2341	2590	2548	2701
Lpcat3	1763	2049	3145	1695	2077	2707	1639	3485
Atp6v1f	8040	7839	6998	5905	6480	7387	6480	6902
Il12b	0	0	0	0	0	0	0	0
Clcn5	491	537	801	929	355	443	868	973
Clcn3	1691	927	1184	1572	1095	1178	1185	1559
Hif3a	0	0	0	0	0	0	0	0
Gpx6	0	0	0	0	0	0	0	0
Gpx5	0	0	0	0	0	1	0	0
Pde1c	0	0	0	0	0	26	0	0
Utp20	143	187	224	191	207	222	248	182
Spic	3	5	3	1	1	0	4	4
9330159F19Rik	0	0	0	0	0	0	1	0
Cul3	1715	906	1267	1653	1080	1205	1363	2142
Sst	0	0	0	0	0	0	0	0
Il11	15	0	0	0	5	1	0	0
Large1	55	956	168	173	105	49	181	203
Ddx56	846	668	745	472	885	1012	863	1075
Tmed4	1321	2272	2590	1652	1593	1382	1502	1546
Col26a1	1	0	1	0	0	1	0	0
Bid	42	411	135	94	381	490	184	969
Ralb	1608	1203	1688	1195	1324	1739	1039	1496
Ppp1cc	2318	2115	2430	2332	2133	2348	2161	2656
Dnajb11	1538	1358	1405	1013	1170	1413	1007	1653
Tbccd1	77	99	319	325	380	72	295	445
Clec11a	125	709	169	118	127	82	114	136
Zfp324	0	82	0	6	0	0	6	54
Gab2	0	147	127	26	5	1	50	169
Coro1c	1147	352	863	894	890	1218	983	506
Tax1bp1	10778	7177	12938	10586	8474	9092	8194	9311
Psg17	0	0	0	0	0	0	0	0
Psg19	0	0	0	0	0	0	1	0
Ctse	27331	13049	31041	28289	13786	13286	12288	17875
Ndrg2	7114	2943	8446	4356	6046	8760	4726	9254
Mettl17	580	717	639	598	401	426	618	994
Arhgef40	229	463	244	378	182	265	606	647
Pnpla6	284	372	403	214	342	443	657	427
Mcoln1	693	699	716	260	190	855	502	618
Arhgef18	508	443	682	417	439	738	782	772
Pkn2	1470	1035	1454	1582	1127	1702	1169	1665
Cd33	0	0	0	1	0	0	0	0
Etfb	14653	11047	11914	8378	9676	11564	8923	11189
Nkg7	0	0	0	0	0	16	0	0
Stxbp2	1641	2747	2617	1710	2598	2950	3017	3201
Pcp2	0	0	5	0	0	0	0	0
Sgce	1931	2280	1926	1288	1044	892	1377	1440
Chn2	254	255	177	135	144	209	157	174
Wwox	104	271	172	169	487	290	205	449
Slbp	2360	1980	2789	2314	2024	2212	2019	2811
Tyr	12	35	5	9	21	16	15	30
Ghrhr	0	0	0	0	0	0	0	0
Aqp1	5	372	20	0	0	16	0	0
Arid3b	89	41	116	34	62	239	344	132
Cnn2	216	2793	109	263	179	366	445	246
Polr2e	6139	5874	4748	4667	5385	5806	4719	5274
Abca13	0	0	0	0	2	0	4	0
Myo9b	140	354	320	253	26	258	371	382
Hdac9	0	0	0	0	0	0	0	0
Ly9	0	136	0	0	0	0	0	0
Cd244a	2	0	0	0	1	0	0	0
Adgre1	0	0	0	0	0	0	0	0
Mtfp1	131	101	55	0	0	41	0	0
Rab23	115	429	117	57	97	59	201	186
Rab11a	6699	6008	7317	6314	6858	7632	6554	7879
Eif2b2	441	1010	1483	709	819	1251	783	1330
Dlst	494	641	899	571	691	914	760	513
Pgf	0	165	15	21	0	0	2	0
Ulk2	256	438	216	157	148	53	275	288
Ccl24	0	0	0	0	0	0	0	1
Dgkq	21	316	91	91	40	36	57	34
Tmed11	0	0	0	0	0	0	0	0
Grap	0	0	0	0	0	0	0	0
Pou1f1	0	1	1	4	0	0	0	2
Chmp2b	2267	1657	2186	1314	2704	3022	2436	3143
Plod3	357	277	268	168	83	260	289	374
Ap1s1	1676	1903	2282	1431	1572	2805	858	2236
Mapk13	1238	726	1290	1094	1929	2367	2264	2368
Srpk1	2273	1215	2041	1743	1578	1896	1703	2133
Pax3	0	0	0	0	14	0	0	0
Lbr	526	291	277	442	130	234	305	192
Crabp2	1	183	0	107	78	136	52	124
Nes	0	0	0	0	1	251	68	109
Bcan	0	0	0	0	0	0	0	0
Hapln2	0	0	0	0	0	0	0	0
Prcc	11	7	3	19	5	82	9	11
Rrnad1	61	235	361	258	93	166	247	148
Hdgf	1180	1370	1641	1291	960	1595	900	1297
Slc25a18	0	0	0	3	0	14	0	0
Thop1	201	175	65	135	225	346	126	93
Apba3	395	340	66	325	332	231	430	215
Matk	2	0	0	0	20	66	66	0
Pias4	110	208	408	117	1	164	213	496
Map2k1	966	988	1061	1047	756	736	615	892
Sgta	1221	2936	1345	1282	1914	2230	1713	2560
Nmrk2	1	1	1	3	1	5	1	2
Tmem242	2030	1581	1183	1286	1461	1614	1393	2247
Dtx2	187	236	174	172	144	221	116	221
Zp3	0	0	0	0	2	0	2	0
Hspb1	10592	11885	14241	9871	13564	15532	11000	18869
Rasa4	79	10	112	36	8	49	25	45
Syt5	0	0	0	0	0	0	0	0
Hnrnpa2b1	12423	7615	13222	12430	12387	12611	12115	12748
Fxyd4	1116	341	633	748	64	18	46	86
Ccdc130	170	514	279	346	250	90	256	203
Mri1	1004	840	581	555	876	917	884	1310
Prkacb	650	960	508	456	386	438	712	738
Sgsh	206	329	148	172	139	232	115	222
Chd5	0	0	0	0	0	0	5	1
Cstb	16604	14763	12180	11121	17425	18782	14416	15784
Sh2b2	0	48	28	0	71	206	9	65
Pex5	388	679	258	359	478	842	379	548
Jkamp	578	1857	794	578	1167	1271	611	1120
Cd44	2502	1995	2507	2439	861	598	798	992
Slc1a2	0	29	0	3	1	2	2	0
Eif2ak4	170	41	75	264	342	531	429	615
Wdr1	4119	4584	5715	5209	5098	7260	5246	5439
Slc2a9	57	11	59	8	10	18	19	73
Ccn4	0	1810	0	23	0	0	0	0
Ndrg1	854	590	469	390	268	527	179	506
4930550C14Rik	0	0	0	0	0	0	0	0
Man2b1	1215	1315	1520	913	966	1023	1139	871
Klf5	3663	1940	3440	3047	3303	4351	3099	4100
Wdr83	573	600	731	505	903	349	738	673
Prdx2	20619	20169	16571	13181	13857	15427	12780	18043
Polr2a	711	877	636	846	793	1054	912	1206
Shbg	0	0	0	0	0	0	0	0
Senp3	360	341	521	436	286	442	607	494
Corin	0	0	21	2	0	0	12	0
Plekha8	197	336	237	115	277	73	207	240
G6pc2	0	0	0	0	0	0	4	0
Spc25	3	267	39	68	151	254	118	53
Dnah2	0	0	0	3	0	2	1	0
Ripk4	5121	1963	5434	3990	5789	6998	7029	7467
Ufd1	2321	1835	1864	1973	1298	1580	1540	2259
Zfp287	1	127	1	75	0	5	50	2
Prlr	53	44	0	0	1	0	1	9
Letm1	275	698	482	476	479	374	740	557
Ubqln1	1174	699	1221	982	1271	1581	1429	1811
Fgfr4	0	0	0	0	0	22	0	0
Cadm3	0	89	0	1	0	0	0	0
Fcer1a	0	0	0	0	0	0	0	0
Txn2	5327	3795	4314	4170	3537	4463	2997	4599
Casp14	121	0	7	12	61	0	137	17
Slc1a6	0	0	0	0	0	0	0	0
Slc1a3	201	42	92	46	38	42	180	116
Crbn	656	674	872	290	579	564	527	947
Il5ra	0	1	2	0	0	0	0	1
Msh6	520	583	895	930	246	392	723	596
Fbxo11	1462	711	1141	1308	1167	878	1138	1314
Mlxipl	0	0	0	0	1	4	1	14
Tbl2	34	224	88	89	95	204	34	191
Bud23	784	731	933	635	798	725	623	1053
Nid1	17	1598	5	43	31	26	89	66
Mcm5	27	394	114	91	46	217	133	123
Hmox1	80	103	877	270	287	516	537	288
Mprip	1586	1553	1467	1560	1227	1700	2033	2366
Cic	109	133	226	198	139	107	167	211
Pafah1b3	1801	1855	1692	1281	2477	2531	2404	2920
Il27ra	0	67	0	0	0	0	0	0
Prkaca	273	402	206	317	168	278	166	287
Asf1b	20	400	7	45	52	308	17	81
Myl10	0	0	0	0	7	13	23	0
Ddx39	1471	2088	1697	717	1774	1851	1843	2094
Dnajb1	14669	9287	15176	12529	18441	17097	12381	19699
Msh4	14	14	15	14	16	17	27	27
Usp40	275	255	539	311	97	428	423	568
Evx1	0	0	0	0	0	0	0	0
Kbtbd4	84	9	251	172	56	81	59	91
Celf1	809	771	991	847	285	791	1094	931
Ndufs3	4359	2947	4482	3148	3337	4263	3168	4314
Por	3584	2418	3770	4908	3729	6090	5254	6163
Igf1r	213	143	119	50	58	64	87	58
Insr	630	277	285	315	168	423	418	607
Fcer2a	0	0	0	0	1	1	1	2
Cyp2a5	0	0	0	0	0	0	0	0
Atp4a	0	0	0	0	0	0	0	0
Trim28	2419	2970	2347	1955	2507	2840	2505	2675
Ube2m	283	646	235	174	250	293	249	292
Adcy9	0	86	124	0	77	39	11	105
Mef2c	54	0	0	0	0	0	0	0
Ctr9	773	708	780	429	832	944	1044	878
Eif4g2	10873	8429	10361	8625	8686	8858	8459	11082
Mrvi1	0	28	9	0	8	0	10	0
Pcyt1a	599	936	659	555	388	442	408	376
Zfp592	222	337	322	147	244	334	120	415
Psmd4	4234	4550	3833	3262	3611	4776	4285	5120
Tmod4	1	12	159	59	42	43	119	37
Insrr	0	0	0	0	0	0	3	0
Cabp5	0	0	0	0	0	0	0	0
Snx6	3750	3570	3638	3538	4079	4143	3577	5702
Mthfd2	91	142	0	0	0	39	0	15
Kit	0	0	0	0	0	0	0	78
Tomm40l	68	25	54	31	43	98	69	66
Nr1i3	0	0	0	4	0	0	0	0
Apoa2	31	34	0	0	6	0	0	6
Pan2	674	454	449	523	369	429	640	906
Cs	2341	2575	2932	2655	1986	2733	1742	2955
Ampd3	138	101	34	90	17	31	63	342
Bcas2	3513	2438	3053	2221	2519	2200	2372	3423
Sh2d1a	0	0	0	3	0	0	0	0
Ctcf	693	247	591	578	721	383	718	886
Pard6a	138	81	158	224	26	92	91	79
Agrp	49	0	0	13	0	16	4	0
Pvalb	0	0	0	0	0	0	0	0
Tfap4	0	6	6	5	14	8	8	11
Ranbp1	4031	5213	2611	3435	3272	3957	3114	3938
Cd247	2	0	0	0	2	0	0	0
Rfx5	66	116	4	5	54	61	57	61
Psmb4	3037	4335	2877	2482	2942	3618	3224	3478
Mmp8	13	0	0	0	0	0	0	0
Slc30a4	338	416	177	371	486	341	826	720
Sqor	2495	1992	2696	1598	1584	1587	1220	2124
Bloc1s6	534	547	661	602	582	798	199	440
Metap1	844	387	820	824	868	686	560	924
Gpr108	1046	650	1288	1213	631	708	755	1138
Tnfsf14	0	37	0	0	0	0	0	0
Gata6	519	1248	652	355	638	874	693	828
Rsl1d1	4048	3249	3347	3802	3685	3607	3193	4396
Cnga2	0	0	0	0	0	27	0	1
Apc	1777	645	1931	1843	1374	2187	1846	2331
Reep5	9221	7613	7108	5790	3536	4503	4369	4922
Ergic3	5450	7337	5722	4038	6207	6683	5160	6997
Uqcc1	413	385	256	545	342	508	420	771
Spo11	0	0	0	0	0	0	0	0
Ncoa2	262	179	211	28	238	242	478	604
Prl4a1	0	0	0	0	0	0	0	0
Trh	0	0	0	0	0	0	0	0
Nr2c2	285	193	202	241	116	189	98	605
Nr2c1	359	115	375	261	767	542	292	879
Smpd4	82	377	267	300	198	348	486	305
Pex1	116	289	268	243	80	105	281	281
Otx1	0	0	0	0	0	0	0	0
Kctd20	600	1504	145	217	579	642	669	1053
Itgae	0	0	0	0	0	0	0	0
Ctns	99	229	363	79	46	78	158	224
P2rx5	0	0	0	0	0	0	0	0
Shpk	34	19	13	119	8	25	93	50
Trpv1	0	0	0	0	0	0	0	0
Ephb3	506	669	96	385	178	296	359	528
Tuft1	712	626	686	1046	1285	918	1392	1295
Rcn1	1017	3760	1480	652	1208	1402	918	1388
Dnase1	0	39	0	0	0	36	24	4
Trap1	780	1132	1037	1285	1397	1682	1482	1775
Naa60	403	90	206	141	237	295	227	440
1700037C18Rik	83	7	29	68	101	65	75	79
Ankrd13d	129	164	60	95	14	183	161	163
Tyrp1	0	0	0	0	0	0	0	0
Tpr	1942	2837	2493	1859	2011	2800	2458	3096
Pdc	0	0	0	0	0	0	0	0
Odr4	421	663	521	687	357	319	278	485
Prg4	371	489	933	3	3	1	1	2
Dhx34	24	448	93	74	148	36	100	102
Kptn	237	228	328	342	326	368	359	459
Napa	6947	7678	8498	7920	6773	7048	6683	6670
Sra1	2722	4826	2879	2663	2366	2239	2293	2948
Calcoco2	0	0	0	0	0	0	0	0
Atp5g1	10215	10144	6171	5320	6855	8916	7139	7808
Snf8	838	724	1044	425	848	880	655	1064
Tbcb	2518	3160	2915	1984	2516	2993	2812	2487
Inpp5k	1601	1080	1388	1289	1344	1071	1403	1561
Crkl	157	206	390	174	246	160	229	220
Upk3bl	458	171	398	98	4263	8697	5443	6331
Eps8l1	105	144	159	151	58	131	59	166
Clint1	1287	798	987	918	1029	1405	1480	1377
Prss16	0	0	0	63	0	1	0	0
Cdkal1	323	13	523	221	437	349	404	376
Rhox6	0	0	0	0	0	0	0	0
5430419D17Rik	0	0	0	0	0	0	0	0
Htra1	39	6635	103	37	0	0	54	39
Zbtb17	140	125	769	80	121	769	383	607
Clcnkb	0	0	0	0	1	0	0	0
Fam131c	4	0	0	0	0	0	0	38
Fblim1	185	698	71	133	398	433	482	588
Hspb7	0	41	0	3	0	0	7	0
Epor	0	0	0	0	0	4	0	98
Ccdc159	0	90	115	30	0	70	0	0
Mob1b	1022	812	1298	856	634	853	779	987
Atp6v1b1	0	0	0	0	0	0	0	0
Vax1	0	0	0	0	0	0	0	0
Atp6v1b2	1596	2335	1581	1472	1594	2044	1762	1732
Eps15l1	441	259	557	598	364	540	581	751
Tep1	369	387	125	258	157	80	201	186
Ttc5	621	225	967	442	963	1425	1182	1295
Osgep	2090	2449	1931	1458	1386	2008	1650	1841
Aamp	3935	4136	5078	3489	3792	6554	3232	4561
Tmbim1	1891	1495	2182	2351	1816	2089	2804	1874
Arpc2	18558	14837	15004	12270	16330	17628	12778	19023
Kmt2b	631	440	534	203	242	327	726	740
Zbtb32	154	35	79	35	118	305	106	184
Etv2	0	0	0	0	12	0	0	0
Upk1a	75065	37614	74614	65142	67502	89492	51273	68372
Tmem147	2301	3558	2052	1806	2256	3288	2364	3086
Rps9	31970	24978	23952	19740	24562	29149	23119	28135
Tfpt	404	536	536	431	437	480	364	547
Susd2	0	530	47	30	21	1	4	0
Ggt5	0	159	37	53	107	42	66	126
Ggt1	0	0	0	0	0	0	0	79
Crip2	8095	15378	6169	6362	2709	5325	3448	4001
Crip1	3394	61520	5198	1287	1031	1351	863	1603
Cbfa2t3	0	57	0	0	0	0	4	0
Fbln1	516	24594	676	0	57	104	132	373
Pgrmc1	14930	8598	15300	12219	10215	7892	6625	9517
Gcat	717	306	828	286	218	279	226	210
Tek	0	59	0	0	1	0	0	0
Mpl	0	40	0	0	0	0	0	0
Elovl1	4186	5327	4942	3526	3991	5238	4087	3133
Med8	1793	1444	1235	883	1197	1268	1323	1588
Cdc20	24	887	20	0	403	412	494	368
Adamts4	0	152	0	31	0	2	1	0
Nectin4	616	432	683	713	463	833	1041	1009
Pfdn2	2210	1299	1674	1555	1254	1696	1432	1696
Rnf114	1142	1356	2156	1026	1578	1884	1467	1875
C330007P06Rik	775	570	534	622	560	499	476	561
Neurl1a	16	71	0	7	0	0	0	112
Srm	1170	3612	1680	1508	985	1421	1075	1476
Epha2	2098	1712	1779	1838	2103	2912	1659	1505
Rbm14	67	248	129	104	136	161	104	224
Actn3	0	0	0	0	0	0	0	0
Zdhhc24	185	92	44	127	50	123	78	17
Bbs1	5	14	0	0	0	2	18	139
Slc34a3	0	0	0	0	0	0	0	0
Ndor1	218	294	363	324	244	529	411	943
Nsmf	253	489	181	84	61	268	248	224
Prl7a1	0	0	0	0	0	0	0	0
Prl8a9	0	0	0	0	0	0	0	0
Pdk1	918	433	695	579	619	437	408	680
Ptbp1	640	1151	735	652	877	1226	1036	1040
Mvd	269	346	183	301	179	239	124	282
Cyba	1996	4675	1406	1041	1228	1397	1191	1344
Itih3	0	0	0	0	0	0	0	0
Stimate	320	74	131	251	95	163	227	317
Sfmbt1	123	73	248	300	154	91	213	287
Itih1	0	0	0	0	0	0	0	0
Ihh	0	0	0	0	0	0	0	0
Prkag3	2	0	0	2	0	0	1	0
Cryba2	0	0	0	0	0	0	0	0
Atp7b	37	1	30	7	0	6	29	18
Defb2	0	0	0	0	0	0	0	0
Slc4a1	0	0	0	0	0	0	0	0
Rundc3a	0	0	0	13	0	20	0	1
Slc4a3	1	495	21	113	31	94	176	44
Cdt1	116	339	287	102	79	363	323	304
Runx1t1	92	410	9	0	5	19	18	49
Snai3	0	154	93	91	51	74	100	6
Aprt	1840	4697	2188	1248	1483	2025	1676	1809
Gtf2h1	667	362	645	611	689	754	899	807
Hfe	95	294	278	138	132	83	100	81
Slc5a6	46	1	128	87	76	35	47	183
Tcf23	0	0	0	0	0	40	0	0
Nphs1	1	0	2	0	0	2	6	3
Aplp1	2	386	51	1	0	0	0	0
Qrich1	623	490	1130	391	332	1147	875	698
P4htm	164	45	0	0	0	0	76	0
Usp19	847	771	377	568	308	723	960	781
Pola1	75	361	84	378	107	197	86	169
Cdc42	16870	12768	16811	13660	14293	14466	12566	15129
Pknox1	167	141	240	93	179	55	128	242
D130043K22Rik	0	0	0	16	0	0	0	0
Gmnn	400	586	391	218	175	289	242	376
Acot13	1897	1431	1662	1610	1257	1570	1143	1392
Zfp184	0	0	276	178	1	71	0	98
Cyp27b1	0	0	0	0	0	0	3	16
Cdk4	3978	6071	4008	2504	4303	6225	5247	6349
B4galnt1	144	702	178	101	286	123	166	364
Mettl1	351	618	368	441	358	506	365	470
Tspan31	1285	2673	1884	1496	1446	2106	1721	2051
Kif5b	2958	2331	2362	1935	1769	1930	1811	2028
Saal1	275	362	379	631	504	392	367	601
Tph2	0	0	0	0	0	0	0	0
Krt23	8406	4377	9116	7120	3036	5456	3015	3041
Cnp	120	240	254	368	223	462	172	326
Ttc25	1	28	0	2	16	3	9	8
Sulf2	1013	1805	1233	860	429	762	587	656
Sod2	4321	2819	3988	4078	3655	3432	3263	4528
Tmco6	112	261	149	175	181	158	403	171
Stambp	903	1202	1134	890	1479	863	980	1157
Ezh1	624	465	634	491	751	338	396	830
Hap1	0	0	18	1	88	69	19	37
P3h4	449	2363	433	261	533	564	600	756
Ctnnb1	8118	5740	7888	8078	10863	11413	12943	13738
Eif1b	1714	1387	1058	927	883	1336	1026	1154
Klk4	0	0	0	0	0	0	0	0
Chrd	2	21	77	0	1	0	1	0
Psmd2	2343	3422	2356	2963	2856	3716	4016	3978
Syngr3	0	0	0	2	0	0	0	0
Vars	325	618	359	816	236	720	948	672
Vwa7	18	4	12	11	8	6	16	8
Hspa1l	0	0	8	0	0	0	0	0
Slc44a4	4	4	254	152	36	126	30	37
Msh5	62	96	0	0	0	23	32	40
Abhd16a	934	878	720	471	829	1145	827	957
Neu1	275	393	686	95	273	484	416	683
Ddah2	209	1540	206	172	376	580	315	736
Clic1	5297	11313	4704	4604	4961	7154	4712	6552
Lsm2	622	848	632	284	539	613	555	1008
Pole	1	9	61	3	5	6	30	49
Atp1a2	1	94	0	2	0	40	29	2
Atp1a4	0	0	0	0	0	0	0	0
Casq1	0	65	0	0	0	0	0	0
Stx1a	19	136	63	6	104	65	2	126
Ceacam9	0	0	0	0	0	0	0	0
Zfp775	76	30	131	126	23	85	92	1
Scube2	12	0	0	27	53	9	131	33
Mrpl49	1239	962	952	525	827	1261	1538	1963
Dennd2c	308	454	727	524	357	657	296	552
Mark3	679	507	552	713	495	704	403	957
Gatad1	725	622	644	747	591	490	382	790
Pcdha11	0	0	0	0	0	0	0	0
2310003L06Rik	0	0	0	0	0	0	0	0
M6pr	4847	3008	5150	3859	3965	4594	3340	4057
Lrrc8a	1003	649	1045	952	494	735	518	857
Mc5r	0	0	0	0	0	0	0	0
Ppp2r1a	3387	3334	3611	2929	2937	4811	2988	5325
Fance	84	309	417	407	174	368	274	263
Tinf2	92	295	379	156	78	80	197	362
Tssk4	92	0	0	0	10	0	42	9
Hapln4	0	0	0	0	2	0	0	0
Dus3l	565	437	577	263	154	458	746	591
Gtpbp3	61	5	56	128	0	18	33	137
Tgfbr1	562	907	689	662	564	690	794	808
Homer1	167	99	123	255	110	77	167	120
Rad51c	0	83	2	9	0	0	1	30
Gabrb2	0	0	2	0	0	0	0	0
Cav1	833	10474	2145	221	26	98	4	887
Arpp19	6669	4272	5859	4425	4059	4890	4061	5512
Bcl2l1	329	223	1089	650	722	837	881	828
Khsrp	287	205	208	240	145	237	210	253
Dio2	79	65	403	143	63	175	203	151
Ccdc124	2470	2920	2844	2057	1386	2393	2020	2224
Cct4	7541	5365	6052	4632	6319	7066	5983	7253
0610009B22Rik	952	657	976	685	500	566	785	933
Cpt1c	4	387	114	0	30	152	47	0
Twist2	0	33	0	0	0	0	0	0
Zfp655	1491	810	1391	1447	1772	2563	1788	2917
Rhoa	2723	5575	3012	2448	2587	2791	2025	3304
Zmiz1	682	1091	281	225	337	375	284	500
Ankrd26	55	279	215	36	140	162	39	175
Aldh16a1	111	421	101	239	295	122	197	320
Hnrnpa0	2349	1319	1379	1459	1578	1439	1580	1897
Prrg2	222	392	295	168	51	225	240	337
Hnrnph1	3319	2196	3810	3859	3280	3044	4011	3782
Ift43	897	1147	596	733	988	1405	934	1456
Id3	19900	16976	16453	13260	16408	20345	18030	28143
Tcap	0	0	0	5	0	0	0	0
Arid1a	1535	1041	1081	1208	1317	1289	1830	2566
Crlf1	0	0	0	0	0	0	0	0
Ctsd	11483	8882	13537	10917	8972	8768	7355	10962
Rplp1	23647	20155	17558	13753	16116	20926	16141	18981
Cabs1	0	0	0	0	0	0	0	0
Hmgcll1	33	2	0	0	27	33	5	11
Ttc9b	0	8	0	0	0	0	0	0
Phox2a	0	0	0	1	0	0	0	0
Abhd8	174	205	49	0	10	26	48	94
Ift22	343	741	439	320	316	653	596	611
Fzd3	366	105	460	436	296	172	142	431
1700008O03Rik	57	57	43	51	33	114	103	76
Mid1ip1	578	995	852	910	421	305	531	590
Ap2s1	1978	3528	1761	1398	2300	2491	1905	2929
Fgfrl1	140	23	202	197	76	179	62	77
4930432K21Rik	0	0	0	0	0	0	0	0
Fhl2	0	882	0	24	1	48	44	14
Emc10	766	1687	941	457	676	1307	743	1295
Clstn3	0	0	0	0	0	8	0	0
Fbxw9	723	804	610	663	625	995	791	927
Spib	0	0	0	1	0	3	0	1
Fnbp4	1125	821	1994	1753	481	1224	1674	1623
Cers4	108	756	168	0	9	9	43	8
Scrn3	579	661	966	1118	648	331	241	540
Phax	1155	1033	1141	1078	937	886	930	1113
Tle1	266	292	641	410	400	1083	887	459
1700109H08Rik	6	17	0	49	0	16	13	16
Relt	0	0	0	0	10	0	0	73
Snrpb2	1159	590	636	705	839	572	595	926
Ubc	25974	20863	37236	25654	34037	41144	34310	44318
Prpf31	596	413	544	460	653	457	365	841
Sertad1	1951	1450	1350	1171	2383	2577	1889	2734
Carhsp1	850	2237	568	577	548	696	607	713
Elk3	286	100	188	77	170	275	281	290
Herpud2	116	606	493	447	451	554	226	382
Rdh13	696	546	740	1105	595	620	818	1099
Adam21	0	0	0	0	0	0	0	0
Nutf2	1462	1769	1437	1350	1779	1742	1390	2035
Fut1	0	0	0	0	0	0	0	0
Arpc5	4618	4272	4622	5043	5352	5765	4443	5685
